ProgramId,Title,Code
0,Bachelor of Liberal Arts,ALB
1,Doctor of Musical Arts,AMUSD
2,Associate of Arts,AA
3,Associate of Applied Arts,AAA
4,Associate of Applied Business,AAB
5,Associate in Allied Health,AAH
6,Associate of Arts in Nursing,AAN
7,Associate in Applied Science,AAS
8,Associate of Arts and Sciences,AAS
9,Associate of Arts in Teaching,AAT
10,Associate of Applied Technology,AAT
11,Associate in Business,AB
12,Bachelor of Arts,AB
13,Associate of Business Administration,ABA
14,Bachelor of Liberal Arts,ABL
15,Associate Degree,AD
16,Associate Degree of Building Design,ADBLDGDES
17,Associate Degree of Building Surveying,ADBLDGSURV
18,Associate Degree of Business,ADBUS
19,Associate Degree of Engineering,ADENG
20,Associate Degree of Information Technology,ADIT
21,Associate Degree of Journalism,ADJOUR
22,Associate Degree of Learning Management,ADLM
23,Associate Degree of Multimedia Studies,ADMMST
24,Associate Degree in Nursing,ADN
25,Associate of Engineering,AE
26,Alternate Entry Master of Science in Nursing,AEMSN
27,Associate of Engineering Science,AES
28,Associate in Engineering Technology,AET
29,Associate of Forestry,AF
30,Associate of Fine Arts,AFA
31,Associate of General Studies,AGS
32,Associate of Industrial Technology,AIT
33,Master of Liberal Arts,ALM
34,Associate in Medical Science,AMSC
35,Associate of Nursing,AN
36,Associate in Occupational Studies,AOS
37,Associate in Occupational Technology,AOT
38,Associate of Public Service,APS
39,Associate of Political science,APS
40,Associate in Physical Therapy,APT
41,Associate of Science,AS
42,Associate of Science in Dental Hygiene,ASDN
43,Associate of Science in Nursing,ASN
44,Associate in Physical Therapy,ASPT
45,Associate Degree of Computing,ASSOCDEGCOMP
46,Associate Degree of Technology,ASSOCDEGTECH
47,Associate Degree of Technology Management,ASSOCDEGTECHMGT
48,Associate of Technology,AT
49,Doctor of Audiology,AUD
50,Bachelor of Arts,BA
51,Bachelor of Applied Arts,BAA
52,Bachelor of Applied Arts and Sciences,BAAS
53,Bachelor of Arts in Communication,BACOM
54,Bachelor of Aerospace Engineering,BAE
55,Bachelor of Arts and Economics,BAE
56,Bachelor of Economics,BAECON
57,Bachelor of Arts in Education,BAED
58,Bachelor of Applied Studies,BAS
59,Bachelor of Applied Science,BAS
60,Bachelor of Architectural Studies,BAS
61,Bachelor of Applied Science,BASC
62,Bachelor of Art & Technology,BAT
63,Bachelor of Applied Technology,BATECH
64,Bachelor of Accountancy,BACC
65,Bachelor of Agricultural Science,BAGRSC
66,Bachelor of Applied Finance,BAPPFIN
67,Bachelor of Applied Science,BAPPSC
68,Bachelor of Architecture,BARCH
69,Bachelor of Asian Studies,BAS
70,Bachelor of Business Analysis - Financial,BBAFIN
71,Bachelor of Business Administration,BBA
72,Bachelor of Built Environment,BBE
73,Bachelor of Biosystems Engineering,BBE
74,Bachelor of Behavioural Neuroscience,BBNSC
75,Bachelor of Business,BBUS
76,Bachelor of Commerce and Administration,BCA
77,Bachelor of Civil Engineering,BCE
78,Bachelor of Computer Information Systems,BCIS
79,Bachelor of Criminal Justice,BCJ
80,Bachelor of Computer and Mathematical Sciences,BCM
81,Bachelor of Computing & Mathematical Sciences,BCMS
82,Bachelor of Surgery,BCH
83,Bachelor of Chemical Engineering,BCHEE
84,Bachelor of Commerce,BCOM
85,Bachelor of Commerce,BCOMM
86,Bachelor of Communication,BCOMN
87,Bachelor of Computing,BCOMP
88,Bachelor of Computer Operations Technology,BCOT
89,Bachelor of Communications Studies,BCS
90,Bachelor of Design,BDES
91,Bachelor of Engineering,BE
92,Bachelor of Electrical Engineering,BEE
93,Bachelor of Electronics Engineering Technology,BEET
94,Bachelor of Environmental Studies,BES
95,Bachelor of Economics,BEC
96,Bachelor of Finance & Economics,BECONFIN
97,Bachelor of Economic Science,BECONSC
98,Bachelor of Education,BED
99,Bachelor of Environmental Design,BEND
100,Bachelor of Engineering,BENG
101,Bachelor of Fine Arts,BFA
102,Bachelor of Finance,BFIN
103,Bachelor of General Studies,BGS
104,Bachelor of Game & Simulation Programming,BGSP
105,Bachelor of Humanities and Arts,BHA
106,Bachelor of Hotel Management,BHM
107,Bachelor of Health Science,BHS
108,Bachelor of Health Sciences,BHSC
109,Bachelor of Interior Architecture,BIARCH
110,Bachelor of Integrated Studies,BIS
111,Bachelor of Interdisciplinary Studies,BIS
112,Bachelor of Industrial and Science Engineering,BISE
113,Bachelor of Information Technology,BIT
114,Bachelor of Industrial Design,BINDSN
115,Bachelor of Information Science,BINFSCI
116,Bachelor of Information Technology,BINFTECH
117,Bachelor of International Studies,BINTST
118,Bachelor of Journalism,BJ
119,Bachelor of Liberal Arts,BLA
120,Bachelor of Landscape Architecture,BLARCH
121,Bachelor of Liberal Studies,BLS
122,Bachelor of Languages,BLANG
123,Bachelor of Music,BM
124,Bachelor of Mechanical Engineering,BME
125,Bachelor of Music Education,BMED
126,Bachelor of Materials Engineering,BMTLE
127,Bachelor of Music,BMUS
128,Bachelor of Public Affairs,BPA
129,Bachelor of Polymer and Fiber Engineering,BPFE
130,Bachelor of Professional Health Science,BPHS
131,Bachelor of Science,BS
132,Bachelor of Science in Aerospace Engineering,BSAE
133,Bachelor of Science in Business Administration,BSBA
134,Bachelor of Science in Biomedical Engineering,BSBME
135,Bachelor of Science in Commerce Business Administration,BSCBA
136,Bachelor of Science in Civil Engineering,BSCE
137,Bachelor of Science in Computer & Information Sciences,BSCIS
138,Bachelor of Science in Computer Science,BSCS
139,Bachelor of Science in Computer Technology,BSCT
140,Bachelor of Science in Chemical Engineering,BSCHEE
141,Bachelor of Science in Chemistry,BSCHEM
142,Bachelor of Science in Engineering,BSE
143,Bachelor of Science in Electrical Engineering,BSEE
144,Bachelor of Science in Engineering Technology,BSET
145,Bachelor of Science in Education,BSED
146,Bachelor of Science in Geology,BSGEO
147,Bachelor of Science in Human Environmental Sciences,BSHES
148,Bachelor of Science in Mechanical Engineering,BSME
149,Bachelor of Science in Manufacturing Engineering Technology,BSMFT
150,Bachelor of Science in Metallurgical Engineering,BSMET
151,Bachelor of Science in Microbiology,BSMICR
152,Bachelor of Science in Materials Engineering,BSMTE
153,Bachelor of Science in Nursing,BSN
154,Bachelor of Science in Social Work,BSSW
155,Bachelor of Social Work,BSW
156,Bachelor of Software Engineering,BSWE
157,Bachelor of Textile Engineering,BTE
158,Bachelor of Technical & Interdisciplinary Studies,BTIS
159,Bachelor of Textile Management and Technology,BTMT
160,Bachelor of Wireless Engineering,BWE
161,Bachelor of Arts,BA
162,Bachelor of Economics,BAECON
163,Bachelor of Education,BAED
164,Bachelor of Arts and Economics,BAE
165,Bachelor of Journalism,BAJ
166,Bachelor of Architecture,BARCH
167,Bachelor of Applied Science,BAS
168,Bachelor of Applied Studies,BAS
169,Bachelor of Applied Science,BASC
170,Bachelor of Arts for Teaching,BAT
171,Bachelor of Aviation,BAVN
172,Bachelor of Biomedical Science,BBIOMEDSC
173,Bachelor of Business Information Systems,BBIS
174,Bachelor of Surgery,BC
175,Bachelor of Surgery,BCH
176,Bachelor of Dental Surgery,BCHD
177,Bachelor of Surgery Degree,BCHIR
178,Bachelor of Civil Law,BCL
